City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
469,Hattiesburg,US,31.3271,-89.2903,44.74,88,73,4.05,broken clouds
470,Cedar City,US,37.6775,-113.0619,39.4,73,100,9.53,overcast clouds
471,Krutinka,RU,56.0055,71.5113,10.47,94,100,7.76,overcast clouds
472,Ilhabela,BR,-23.7781,-45.3581,74.48,93,97,4.43,overcast clouds
473,Kangaba,ML,11.9333,-8.4167,71.51,24,77,5.12,broken clouds
474,Nizwa,OM,22.9333,57.5333,65.82,83,28,1.83,scattered clouds
475,Mount Isa,AU,-20.7333,139.5,80.37,69,75,11.5,broken clouds
476,Mehamn,NO,71.0357,27.8492,17.55,86,67,36.82,broken clouds
477,Luau,AO,-10.7073,22.2247,64.38,99,100,2.35,moderate rain
478,Bilma,NE,18.6853,12.9164,62.91,36,54,5.68,broken clouds
479,Woodward,US,36.4337,-99.3904,54.63,46,0,27.63,clear sky
480,Stykkisholmur,IS,65.0757,-22.7297,23.9,70,100,25.5,overcast clouds
481,Cheltenham,GB,51.9,-2.0833,50.99,88,100,11.01,overcast clouds
482,Nome,US,64.5011,-165.4064,3.16,82,100,4.79,overcast clouds
483,Fallon,US,39.4735,-118.7774,46.92,66,99,22.84,overcast clouds
484,Zheleznodorozhnyy,RU,55.7503,38.0042,30.72,97,100,7.94,light snow
485,Andenes,NO,69.3143,16.1194,31.93,64,20,14.97,few clouds
486,Wad Rawah,SD,15.1603,33.1397,63.16,25,0,14.5,clear sky
487,Hay River,CA,60.8156,-115.7999,-3.55,99,100,3.74,overcast clouds
488,Cururupu,BR,-1.8283,-44.8683,76.35,85,99,3.49,overcast clouds
489,Pietermaritzburg,ZA,-29.6168,30.3928,65.68,97,8,3.49,clear sky
490,Volgodonsk,RU,47.5136,42.1514,40.03,96,100,11.3,overcast clouds
